Pair,Left,Right,BestWindow,PValue,Beta,HalfLife,Z,Conviction,ConvictionBand,Signal,Action,Notes,StationarityP,Stationary,VolRegime,SpreadVol,SuggestedNotional,JohansenTrace,JohansenCrit,JohansenPass,GrowthPhase,PhaseGuidance,SR_Deviation,SR_Signal_Strength,JohansenStrength,NL_Description
COST-META,COST,META,90,0.15701076797099317,-0.4296157964735196,4.503322688101012,-1.9328878777803657,2.1895781080816366,Low,HOLD,HOLD,β=-0.430; HL=4.5; Z=-1.93; p=0.1570; W=90,0.058389072317007934,True,Normal,13.527313856677553,,10.44391130281037,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-1.9221196164022663,Mild,-5.05038869718963,"COST-META spread is mild stretched at -1.92s, HL=4.5d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
COST-SPY,COST,SPY,90,0.11844683389733313,-0.9302994811394298,3.279106932422643,-1.093956970429839,2.0613970548931406,Low,HOLD,HOLD,β=-0.930; HL=3.3; Z=-1.09; p=0.1184; W=90,0.03985709368278242,True,Normal,12.048170805776566,,10.911479075177466,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-1.087862455207616,Mild,-4.582820924822535,"COST-SPY spread is mild stretched at -1.09s, HL=3.3d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
ADBE-QQQ,ADBE,QQQ,90,0.12363443309217637,-0.8372418317510142,3.6645655758263036,1.2252212591538654,2.0231692558256578,Low,HOLD,HOLD,β=-0.837; HL=3.7; Z=1.23; p=0.1236; W=90,0.04267239099449688,True,Normal,7.861541204821407,,8.953775212039343,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",1.2183954608671461,Mild,-6.540524787960658,"ADBE-QQQ spread is mild stretched at +1.22s, HL=3.7d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
COST-QQQ,COST,QQQ,90,0.07454793107368513,-0.9228928518567739,3.348320134387102,-1.0361470815589449,2.0200562586948387,Low,HOLD,HOLD,β=-0.923; HL=3.3; Z=-1.04; p=0.0745; W=90,0.022678459285609413,True,Normal,12.20710803799756,,10.098576018202822,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-1.030374629504874,Mild,-5.395723981797179,"COST-QQQ spread is mild stretched at -1.03s, HL=3.3d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
ADBE-SPY,ADBE,SPY,90,0.14913837167161437,-0.8291055290995601,3.7038802572019205,1.121494391965259,2.0190516075030565,Low,HOLD,HOLD,β=-0.829; HL=3.7; Z=1.12; p=0.1491; W=90,0.05378310176816478,True,Normal,7.810062255696275,,8.16083009049757,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",1.1152464637302164,Mild,-7.333469909502432,"ADBE-SPY spread is mild stretched at +1.12s, HL=3.7d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
ADBE-AMZN,ADBE,AMZN,90,0.03475991684913668,-1.8198613892327622,3.4888121511509267,-1.0515023600618536,2.0035723914459855,Low,HOLD,HOLD,β=-1.820; HL=3.5; Z=-1.05; p=0.0348; W=90,0.030282075440990965,True,Normal,10.25388599778196,,19.293877741672386,15.4943,True,Maturity,Default regime,-1.0456443626151328,Mild,3.799577741672385,"ADBE-AMZN spread is mild stretched at -1.05s, HL=3.5d, in a maturity regime, with strong Johansen pass (gap +3.80). Conviction: Low."
AMD-NVDA,AMD,NVDA,180,0.012678450280089681,1.0222712895625818,4.200925439549919,-0.637620983586457,2.000739693916395,Low,HOLD,HOLD,β=1.022; HL=4.2; Z=-0.64; p=0.0127; W=180,0.002797520247400985,True,Normal,3.5912100454880203,,13.741044910902954,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.6358473473730729,Inside Band,-1.7532550890970473,"AMD-NVDA spread is inside its ±1s band, HL=4.2d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
COST-PEP,COST,PEP,252,0.08492735320284966,-2.675815045192328,8.464465684675925,-1.4321909472785623,1.9932075249727255,Low,HOLD,HOLD,β=-2.676; HL=8.5; Z=-1.43; p=0.0849; W=252,0.025825475716554393,True,Low,15.18364481168868,,14.914243413489544,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",-1.4293464738703516,Mild,-0.580056586510457,"COST-PEP spread is mild stretched at -1.43s, HL=8.5d, in a reset regime, with weak Johansen evidence. Conviction: Low."
AAPL-AVGO,AAPL,AVGO,90,0.13920473956252832,0.4037729419364732,5.480830592348835,2.3586858144825174,1.9717371628965035,Low,HOLD,HOLD,β=0.404; HL=5.5; Z=2.36; p=0.1392; W=90,0.052914257887282906,True,Normal,4.473402887299921,,7.309424166134003,15.4943,False,Maturity,Default regime,2.345545401295007,Severe,-8.184875833865998,"AAPL-AVGO spread is severe stretched at +2.35s, HL=5.5d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
META-SPY,META,SPY,180,0.09217445573464972,1.887021580497077,6.2378743587838015,-1.9210445061750543,1.9431761868661008,Low,HOLD,HOLD,β=1.887; HL=6.2; Z=-1.92; p=0.0922; W=180,0.02871021068854081,True,Normal,11.304372814846097,,10.131069372169229,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-1.9157008393394528,Mild,-5.363230627830772,"META-SPY spread is mild stretched at -1.92s, HL=6.2d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
COST-QCOM,COST,QCOM,90,0.1480274798806197,-2.5366034137069873,4.433704246732041,-0.8114812143385243,1.908852131330346,Low,HOLD,HOLD,β=-2.537; HL=4.4; Z=-0.81; p=0.1480; W=90,0.05253987032254301,True,Normal,12.293060128347689,,13.284521180897158,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.806960392453372,Inside Band,-2.2097788191028425,"COST-QCOM spread is inside its ±1s band, HL=4.4d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
BKNG-NFLX,BKNG,NFLX,180,0.02242624561325723,2.9231163343241953,5.236996727175369,0.5929047110297977,1.8943184860733873,Low,HOLD,HOLD,β=2.923; HL=5.2; Z=0.59; p=0.0224; W=180,0.005348252944069377,True,Low,78.95249698983301,,27.432562720200924,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.5912554596819931,Inside Band,11.938262720200923,"BKNG-NFLX spread is inside its ±1s band, HL=5.2d, in a maturity regime, with strong Johansen pass (gap +11.94). Conviction: Low."
ADBE-CSCO,ADBE,CSCO,90,0.12960635845643304,-8.836569395192615,3.1510257336603433,-0.9030830761892716,1.8799811131409332,Low,HOLD,HOLD,β=-8.837; HL=3.2; Z=-0.90; p=0.1296; W=90,0.045013998564975274,True,Normal,9.845285030742398,,12.054310597280647,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.8980519335542876,Inside Band,-3.4399894027193536,"ADBE-CSCO spread is inside its ±1s band, HL=3.2d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
META-QQQ,META,QQQ,180,0.0995291551175374,1.689723529971658,6.542650726412629,-1.875405723375506,1.8750811446751012,Low,HOLD,HOLD,β=1.690; HL=6.5; Z=-1.88; p=0.0995; W=180,0.03149491289657869,True,Normal,10.583393232234469,,9.890748737952409,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-1.8701890075029246,Mild,-5.603551262047592,"META-QQQ spread is mild stretched at -1.87s, HL=6.5d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
BKNG-MSFT,BKNG,MSFT,180,0.016953036351950224,7.516259651379232,6.8261956132331205,-0.2173686179113957,1.8739433600627768,Low,HOLD,HOLD,β=7.516; HL=6.8; Z=-0.22; p=0.0170; W=180,0.003701922860204569,True,Low,78.34339496680428,,11.318171228396611,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.21676397524387814,Inside Band,-4.1761287716033895,"BKNG-MSFT spread is inside its ±1s band, HL=6.8d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
BKNG-COST,BKNG,COST,90,0.04340169840824691,-1.4848120043262751,3.8201235007841747,-0.5015811535632424,1.8649879317281348,Low,HOLD,HOLD,β=-1.485; HL=3.8; Z=-0.50; p=0.0434; W=90,0.01181917022706304,True,Low,69.9353287242654,,13.909844789912302,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.4987868078456314,Inside Band,-1.5844552100876985,"BKNG-COST spread is inside its ±1s band, HL=3.8d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
AAPL-TSLA,AAPL,TSLA,30,0.01196266680501839,0.1825709706394335,3.438685438793549,1.4371431202807443,1.86071617059848,Low,HOLD,HOLD,β=0.183; HL=3.4; Z=1.44; p=0.0120; W=30,0.002908987039324504,True,Normal,3.753414755497308,,,,False,Deterioration,"Tight entries, faster exits, entropy high",1.4129877340460526,Mild,,"AAPL-TSLA spread is mild stretched at +1.41s, HL=3.4d, in a deterioration regime, with weak Johansen evidence. Conviction: Low."
AMAT-TXN,AMAT,TXN,252,0.024548456722418368,0.7527001352316275,13.770539360263525,2.835214105095487,1.8215582537949138,Low,HOLD,HOLD,β=0.753; HL=13.8; Z=2.84; p=0.0245; W=252,0.006076518929241459,True,Spike,4.32572390480817,,12.73359054997749,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",2.829583088404694,Severe,-2.7607094500225102,"AMAT-TXN spread is severe stretched at +2.83s, HL=13.8d, in a reset regime, with weak Johansen evidence. Conviction: Low."
AAPL-GOOGL,AAPL,GOOGL,90,0.05012624166919678,0.5656580594338015,5.426564613242404,1.6075115087391052,1.8215023017478211,Low,HOLD,HOLD,β=0.566; HL=5.4; Z=1.61; p=0.0501; W=90,0.015161587982636128,True,Normal,3.31109753817507,,9.475433943687971,15.4943,False,Maturity,Default regime,1.5985559431869614,Mild,-6.01886605631203,"AAPL-GOOGL spread is mild stretched at +1.60s, HL=5.4d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
AMZN-QCOM,AMZN,QCOM,180,0.12247514896206707,1.457183734755068,6.69988227116416,-1.5015319107706133,1.8003063821541225,Low,HOLD,HOLD,β=1.457; HL=6.7; Z=-1.50; p=0.1225; W=180,0.4114548287848164,False,Normal,4.7117470038998155,,13.65921785158145,15.4943,False,Maturity,Default regime,-1.4973551797014524,Mild,-1.8350821484185502,"AMZN-QCOM spread is mild stretched at -1.50s, HL=6.7d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
AMZN-META,AMZN,META,90,0.03541215217994361,0.1710696993136359,4.581484921362425,-0.7612329243042067,1.7981250630614052,Low,HOLD,HOLD,β=0.171; HL=4.6; Z=-0.76; p=0.0354; W=90,0.009406266237472033,True,Normal,3.398394835155165,,17.822856710136044,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.7569920393606185,Inside Band,2.328556710136043,"AMZN-META spread is inside its ±1s band, HL=4.6d, in a maturity regime, with strong Johansen pass (gap +2.33). Conviction: Low."
GOOGL-QQQ,GOOGL,QQQ,60,0.19248742250766182,1.7343775576015654,3.4610192708455876,-0.24171146934698828,1.7846859180089643,Low,HOLD,HOLD,β=1.734; HL=3.5; Z=-0.24; p=0.1925; W=60,0.07502796749327316,True,Normal,5.816110129162164,,11.862886417429719,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.23968874366627105,Inside Band,-3.631413582570282,"GOOGL-QQQ spread is inside its ±1s band, HL=3.5d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
GOOGL-INTC,GOOGL,INTC,60,0.11753524202771964,5.238966549133943,9.85187866869217,-1.351978064136489,1.7703956128272977,Low,HOLD,HOLD,β=5.239; HL=9.9; Z=-1.35; p=0.1175; W=60,0.047039384185923475,True,Normal,6.803091891926702,,6.337132623310278,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",-1.3406642412654297,Mild,-9.157167376689724,"GOOGL-INTC spread is mild stretched at -1.34s, HL=9.9d, in a reset regime, with weak Johansen evidence. Conviction: Low."
BKNG-TSLA,BKNG,TSLA,90,0.15037963546686084,-0.7718678303776771,4.282667086407138,0.7279396597966202,1.7664269944415125,Low,HOLD,HOLD,β=-0.772; HL=4.3; Z=0.73; p=0.1504; W=90,0.05362380765644213,True,Low,66.25503965914113,,7.47878228383295,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.723884254092914,Inside Band,-8.01551771616705,"BKNG-TSLA spread is inside its ±1s band, HL=4.3d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
NVDA-TXN,NVDA,TXN,60,0.027694510894736384,-0.2552826703489991,3.0086246849803366,-0.0007232640613541024,1.7605106626649916,Low,HOLD,HOLD,β=-0.255; HL=3.0; Z=-0.00; p=0.0277; W=60,0.006611166520140704,True,Normal,3.128649356417956,,14.729587813023903,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.0007172115360238268,Inside Band,-0.764712186976098,"NVDA-TXN spread is inside its ±1s band, HL=3.0d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
BKNG-INTC,BKNG,INTC,90,0.16955172361035814,9.08607725288175,4.397844344780601,-0.7579854898636411,1.7343071736682496,Low,HOLD,HOLD,β=9.086; HL=4.4; Z=-0.76; p=0.1696; W=90,0.061933385508713225,True,Low,65.83388839509756,,16.25493110128549,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.7537626966175932,Inside Band,0.7606311012854885,"BKNG-INTC spread is inside its ±1s band, HL=4.4d, in a maturity regime, with strong Johansen pass (gap +0.76). Conviction: Low."
CSCO-META,CSCO,META,252,0.030515891864389966,0.0620798837356171,7.962031868714232,-0.06460769630231702,1.7077626206165637,Low,HOLD,HOLD,β=0.062; HL=8.0; Z=-0.06; p=0.0305; W=252,0.007592430666809569,True,Normal,0.8886217605448457,,15.678919059370893,15.4943,True,Maturity,Default regime,-0.06447937900325372,Inside Band,0.18461905937089185,"CSCO-META spread is inside its ±1s band, HL=8.0d, in a maturity regime, with strong Johansen pass (gap +0.18). Conviction: Low."
BKNG-PEP,BKNG,PEP,60,0.1255417290630505,-5.915928268986399,3.2500165091157,-0.25897381254004337,1.6758510796678823,Low,HOLD,HOLD,β=-5.916; HL=3.3; Z=-0.26; p=0.1255; W=60,0.044702492038044,True,Normal,65.16984050193145,,12.758063484633256,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.2568066295649318,Inside Band,-2.7362365153667447,"BKNG-PEP spread is inside its ±1s band, HL=3.3d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
INTU-META,INTU,META,90,0.1903200500715242,-0.39810814882736667,9.51707291589813,-0.6137181356739624,1.6501071356426653,Low,HOLD,HOLD,β=-0.398; HL=9.5; Z=-0.61; p=0.1903; W=90,0.06638196666213675,True,Low,13.333087863596157,,22.782188019483403,15.4943,True,Reset,"Expect longer holding periods, reversion is slower",-0.6102990665321938,Inside Band,7.287888019483402,"INTU-META spread is inside its ±1s band, HL=9.5d, in a reset regime, with strong Johansen pass (gap +7.29). Conviction: Low."
MSFT-NVDA,MSFT,NVDA,180,0.13894275142600404,1.890731248236369,7.892555897603864,-0.44048074795684167,1.5880961495913684,Low,HOLD,HOLD,β=1.891; HL=7.9; Z=-0.44; p=0.1389; W=180,0.04749693193514716,True,Low,6.709614533310246,,10.812257861748478,15.4943,False,Maturity,Default regime,-0.4392554862010563,Inside Band,-4.682042138251523,"MSFT-NVDA spread is inside its ±1s band, HL=7.9d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
BKNG-QCOM,BKNG,QCOM,90,0.14197228296588416,6.04162596754751,4.148996796175909,-0.5137194816556874,1.574299154315213,Low,HOLD,HOLD,β=6.042; HL=4.1; Z=-0.51; p=0.1420; W=90,0.04957013739713641,True,Normal,65.85386407854088,,9.679354864184354,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.5108575124141796,Inside Band,-5.8149451358156465,"BKNG-QCOM spread is inside its ±1s band, HL=4.1d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
BKNG-GOOGL,BKNG,GOOGL,90,0.17259367585414714,0.21103290864599655,4.596484711666922,0.0762028781686029,1.5492066478759667,Low,HOLD,HOLD,β=0.211; HL=4.6; Z=0.08; p=0.1726; W=90,0.06342483104613691,True,Low,65.02715945478502,,10.070679051239496,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.07577834629620825,Inside Band,-5.4236209487605045,"BKNG-GOOGL spread is inside its ±1s band, HL=4.6d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
AMZN-INTU,AMZN,INTU,90,0.1567547867701536,-0.06020882066439126,5.118830263607155,-0.3906691807261154,1.5264651772833204,Low,HOLD,HOLD,β=-0.060; HL=5.1; Z=-0.39; p=0.1568; W=90,0.05563924672404904,True,Normal,3.9312339270575176,,15.993363959548258,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.3884927338153624,Inside Band,0.49906395954825733,"AMZN-INTU spread is inside its ±1s band, HL=5.1d, in a maturity regime, with strong Johansen pass (gap +0.50). Conviction: Low."
BKNG-NVDA,BKNG,NVDA,90,0.18418659077404415,2.7499608385784278,4.3533688775389825,-0.1228971806778635,1.524579289031826,Low,HOLD,HOLD,β=2.750; HL=4.4; Z=-0.12; p=0.1842; W=90,0.06905010465224524,True,Low,65.105903831636,,11.579329180561372,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.12221251139136018,Inside Band,-3.9149708194386292,"BKNG-NVDA spread is inside its ±1s band, HL=4.4d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
AMZN-SPY,AMZN,SPY,90,0.06257507325696936,0.3265541572885358,3.2384795761659433,-2.617756215010562,1.5235512430021125,Low,HOLD,HOLD,β=0.327; HL=3.2; Z=-2.62; p=0.0626; W=90,0.018968667909066223,True,Normal,3.313639988578387,,11.735291026627127,15.4943,False,Deterioration,"Tight entries, faster exits, entropy high",-2.603172501453545,Severe,-3.7590089733728735,"AMZN-SPY spread is severe stretched at -2.60s, HL=3.2d, in a deterioration regime, with weak Johansen evidence. Conviction: Low."
AMZN-MSFT,AMZN,MSFT,90,0.017137973615075085,0.34035317836142254,3.8247994644577514,-0.8610670790937354,1.5008336796679962,Low,HOLD,HOLD,β=0.340; HL=3.8; Z=-0.86; p=0.0171; W=90,0.004087907177885847,True,Normal,3.565196939790799,,19.97999464266062,15.4943,True,Maturity,Default regime,-0.8562700106872607,Inside Band,4.48569464266062,"AMZN-MSFT spread is inside its ±1s band, HL=3.8d, in a maturity regime, with strong Johansen pass (gap +4.49). Conviction: Low."
NVDA-QCOM,NVDA,QCOM,60,0.18316006032229087,-0.07706067221637314,3.8339837517363105,0.5638169769767926,1.4960367920771562,Low,HOLD,HOLD,β=-0.077; HL=3.8; Z=0.56; p=0.1832; W=60,0.06886306297185693,True,Normal,3.0533625544651555,,11.22331028454366,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.559098760329331,Inside Band,-4.270989715456341,"NVDA-QCOM spread is inside its ±1s band, HL=3.8d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
AAPL-QQQ,AAPL,QQQ,30,0.13517622376608296,0.6733569709515159,4.092153156863003,1.7697704871737765,1.4625123034340815,Low,HOLD,HOLD,β=0.673; HL=4.1; Z=1.77; p=0.1352; W=30,0.06523131896890154,True,Normal,3.5548175644526987,,,,False,Maturity,Default regime,1.7400243268497508,Mild,,"AAPL-QQQ spread is mild stretched at +1.74s, HL=4.1d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
AVGO-SPY,AVGO,SPY,180,0.06127034966367029,1.3175248903748065,5.8032518529931005,0.3059138500333911,1.4595289239774565,Low,HOLD,HOLD,β=1.318; HL=5.8; Z=0.31; p=0.0613; W=180,0.017506602771804238,True,Normal,8.310725531028947,,18.846350749260132,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.30506290582584156,Inside Band,3.3520507492601315,"AVGO-SPY spread is inside its ±1s band, HL=5.8d, in a maturity regime, with strong Johansen pass (gap +3.35). Conviction: Low."
META-PEP,META,PEP,90,0.016915460864646816,3.9942384205448462,3.089747472640625,0.36112063687429474,1.4030695187283908,Low,HOLD,HOLD,β=3.994; HL=3.1; Z=0.36; p=0.0169; W=90,0.003690114566809369,True,Normal,16.719929200219372,,14.193184087037748,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.35910880708758525,Inside Band,-1.3011159129622527,"META-PEP spread is inside its ±1s band, HL=3.1d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
AMZN-AVGO,AMZN,AVGO,90,0.0918483596676487,0.20004006161484028,3.000419354208994,-1.7505905924685605,1.4026006419946546,Low,HOLD,HOLD,β=0.200; HL=3.0; Z=-1.75; p=0.0918; W=90,0.02940354716037838,True,Normal,4.017807112043864,,11.698045180872152,15.4943,False,Maturity,Default regime,-1.740837922754789,Mild,-3.7962548191278493,"AMZN-AVGO spread is mild stretched at -1.74s, HL=3.0d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
AMAT-META,AMAT,META,90,0.1304703481593934,0.0958871761722667,17.00482667049882,1.971989966375993,1.3943979932751986,Low,HOLD,HOLD,β=0.096; HL=17.0; Z=1.97; p=0.1305; W=90,0.04470810889589373,True,Normal,4.59409151715633,,7.234412967096389,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",1.9610038643692318,Mild,-8.259887032903613,"AMAT-META spread is mild stretched at +1.96s, HL=17.0d, in a reset regime, with weak Johansen evidence. Conviction: Low."
AVGO-META,AVGO,META,252,0.16750476578791895,0.6406979946360659,10.08615057183759,1.798376194558227,1.3596752389116453,Low,HOLD,HOLD,β=0.641; HL=10.1; Z=1.80; p=0.1675; W=252,0.06015993834847406,True,Normal,9.27229628014162,,9.88390616635826,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",1.7948044408943036,Mild,-5.610393833641741,"AVGO-META spread is mild stretched at +1.79s, HL=10.1d, in a reset regime, with weak Johansen evidence. Conviction: Low."
